Location,GeoRef,AgeRangeLower,AgeRangeHigher,Sex,TotalNum,TotalNumLow95,TotalNumHigh95,TotalNumCoeffVar,TotalPerc,TotalPercLow95,TotalPercHigh95,TotalPerCoeffVar,UnderNum,UnderNumLow95,UnderNumHigh95,UnderNumCoeffVar,UnderPerc,UnderPercLow95,UnderPercHigh95,UnderPercCoeffVar,NormalNum,NormalNumLow95,NormalNumHigh95,NormalNumCoeffVar,NormalPerc,NormalPercLow95,NormalPercHigh95,NormalPercCoeffVar,SomeNum,SomeNumLow95,SomeNumHigh95,SomeNumCoeffVar,SomePerc,SomPercLow95,SomPercHigh95,SomePercCoeffVar,OverNum,OverNumLow95,OverNumHigh95,OverNumCoeffVar,OverPerc,OverPercLow95,OverPercHigh95,OverPercCoeffVar,NotNum,NotNumLow95,NotNumHigh95,NotNumCoeffVar,NotPerc,NotPercLow95,NotPercHigh95,NotPercCoeffVar
Canada,0,12,64,M,18680311,18662189,18698433,0,100,100,100,0,1510478,1459762,1561193,1.7,8.1,7.8,8.4,1.7,8008426,7918069,8098783,0.6,42.9,42.4,43.4,0.6,2908975,2844792,2973158,1.1,15.6,15.2,15.9,1.1,5953296,5870620,6035972,0.7,31.9,31.4,32.3,0.7,299137,277834,320439,3.6,1.6,1.5,1.7,3.6
Canada,0,12,64,F,9445745,9443402,9448089,0,100,100,100,0,370874,341696,400052,4,3.9,3.6,4.2,4,3767632,3700427,3834837,0.9,39.9,39.2,40.6,0.9,1838575,1787013,1890137,1.4,19.5,18.9,20,1.4,3410625,3346447,3474802,1,36.1,35.4,36.8,1,58040,47636,68444,9.1,0.6,0.5,0.7,9.1
Canada,0,20,34,B,9234566,9216489,9252643,0.1,100,100,100,0,1139604,1096526,1182681,1.9,12.3,11.9,12.8,1.9,4240794,4179907,4301681,0.7,45.9,45.3,46.6,0.7,1070400,1030333,1110467,1.9,11.6,11.2,12,1.9,2542671,2485955,2599388,1.1,27.5,26.9,28.1,1.1,241097,222839,259354,3.9,2.6,2.4,2.8,3.9
Canada,0,20,34,M,6119554,6065907,6173200,0.4,100,100,100,0,779267,741660,816873,2.5,12.7,12.1,13.3,2.4,2975906,2920452,3031359,1,48.6,47.8,49.4,0.8,803011,764678,841344,2.4,13.1,12.5,13.7,2.4,1482722,1435862,1529582,1.6,24.2,23.5,24.9,1.5,78648,66786,90510,7.7,1.3,1.1,1.5,7.7
Canada,0,20,34,F,3190674,3150735,3230612,0.6,100,100,100,0,209306,185466,233145,5.8,6.6,5.8,7.3,5.8,1521265,1477894,1564636,1.5,47.7,46.5,48.9,1.3,548290,516301,580279,3,17.2,16.2,18.2,2.9,891318,853849,928787,2.1,27.9,26.8,29.1,2,20495,13508,27481,17.4,0.6,0.4,0.9,17.4
Canada,0,20,24,B,2928880,2892036,2965724,0.6,100,100,100,0,569961,540309,599613,2.7,19.5,18.5,20.5,2.6,1454641,1416065,1493216,1.4,49.7,48.5,50.8,1.2,254721,234781,274662,4,8.7,8,9.4,3.9,591404,562090,620718,2.5,20.2,19.2,21.2,2.4,58153,48946,67361,8.1,2,1.7,2.3,8.1
Canada,0,20,24,M,2089000,2041287,2136712,1.2,100,100,100,0,364692,336638,392746,3.9,17.5,16.2,18.7,3.8,1124784,1086028,1163541,1.8,53.8,52.3,55.4,1.4,214665,191352,237979,5.5,10.3,9.2,11.3,5.3,364292,338735,389850,3.6,17.4,16.3,18.6,3.4,20566,14127,27004,16,1,0.7,1.3,15.9
Canada,0,20,24,F,1081580,1045395,1117764,1.7,100,100,100,0,110495,94239,126751,7.5,10.2,8.7,11.7,7.4,607770,576886,638655,2.6,56.2,53.9,58.5,2.1,146268,125700,166837,7.2,13.5,11.7,15.3,6.8,210604,190441,230768,4.9,19.5,17.7,21.2,4.6,6442,2614,10269,30.3,0.6,0.2,0.9,30.3
Canada,0,25,34,B,1007420,976760,1038079,1.6,100,100,100,0,254197,231953,276441,4.5,25.2,23.2,27.3,4.1,517014,491306,542722,2.5,51.3,49.2,53.4,2.1,68397,57054,79739,8.5,6.8,5.7,7.9,8.3,153688,137341,170035,5.4,15.3,13.7,16.8,5.2,14124,9163,19085,17.9,1.4,0.9,1.9,17.9
Canada,0,25,34,M,4030554,3959321,4101788,0.9,100,100,100,0,414575,386150,443000,3.5,10.3,9.6,11,3.3,1851121,1797724,1904518,1.5,45.9,44.9,47,1.1,588346,555939,620753,2.8,14.6,13.8,15.4,2.6,1118430,1077718,1159141,1.9,27.7,26.8,28.7,1.7,58083,48392,67773,8.5,1.4,1.2,1.7,8.5
Canada,0,25,34,F,2109094,2055223,2162964,1.3,100,100,100,0,98811,82876,114746,8.2,4.7,3.9,5.4,8,913495,873388,953602,2.2,43.3,41.8,44.8,1.8,402021,375030,429013,3.4,19.1,17.9,20.2,3.1,680714,647336,714092,2.5,32.3,30.8,33.7,2.3,14053,8003,20103,22,0.7,0.4,1,21.9
Canada,0,35,44,B,1921460,1876448,1966473,1.2,100,100,100,0,315764,292642,338886,3.7,16.4,15.3,17.6,3.5,937627,901566,973687,2,48.8,47.3,50.3,1.5,186324,169858,202791,4.5,9.7,8.9,10.5,4.4,437716,413265,462167,2.9,22.8,21.6,24,2.6,44029,36329,51730,8.9,2.3,1.9,2.7,8.9
