Ref_Date,GEO,AGE,FREQUENCY,Vector,Coordinate,Value
2005,Canada,Internet users aged 18 years and over,Using the Internet at least once a day,v41340715,1.1.1,63.7
2005,Canada,Internet users aged 18 years and over,Using the Internet at least once a week (but not every day),v41340716,1.1.2,25.9
2005,Canada,Internet users aged 18 years and over,Using the Internet at least once a month (but not every week),v41340717,1.1.3,5.3
2005,Canada,Internet users aged 18 years and over,Using the Internet less than once a month,v41340718,1.1.4,2.3
2007,Canada,Internet users aged 16 years and over,Using the Internet at least once a day,v43732335,1.6.1,68.2
2009,Canada,Internet users aged 16 years and over,Using the Internet at least once a day,v43732335,1.6.1,75.1
2007,Canada,Internet users aged 16 years and over,Using the Internet at least once a week (but not every day),v43732336,1.6.2,23.3
2009,Canada,Internet users aged 16 years and over,Using the Internet at least once a week (but not every day),v43732336,1.6.2,19.1
2007,Canada,Internet users aged 16 years and over,Using the Internet at least once a month (but not every week),v43732337,1.6.3,4.8
2009,Canada,Internet users aged 16 years and over,Using the Internet at least once a month (but not every week),v43732337,1.6.3,3.2
2007,Canada,Internet users aged 16 years and over,Using the Internet less than once a month,v43732338,1.6.4,2
2009,Canada,Internet users aged 16 years and over,Using the Internet less than once a month,v43732338,1.6.4,1.4
2005,Canada,Internet users aged 34 years and under,Using the Internet at least once a day,v41340719,1.2.1,72.6
2007,Canada,Internet users aged 34 years and under,Using the Internet at least once a day,v41340719,1.2.1,78.6
2009,Canada,Internet users aged 34 years and under,Using the Internet at least once a day,v41340719,1.2.1,82.9
2005,Canada,Internet users aged 34 years and under,Using the Internet at least once a week (but not every day),v41340720,1.2.2,18.9
2007,Canada,Internet users aged 34 years and under,Using the Internet at least once a week (but not every day),v41340720,1.2.2,16.1
2009,Canada,Internet users aged 34 years and under,Using the Internet at least once a week (but not every day),v41340720,1.2.2,13.6
2005,Canada,Internet users aged 34 years and under,Using the Internet at least once a month (but not every week),v41340721,1.2.3,3.3
2007,Canada,Internet users aged 34 years and under,Using the Internet at least once a month (but not every week),v41340721,1.2.3,2.2
2009,Canada,Internet users aged 34 years and under,Using the Internet at least once a month (but not every week),v41340721,1.2.3,1.8
2005,Canada,Internet users aged 34 years and under,Using the Internet less than once a month,v41340722,1.2.4,0.9
2007,Canada,Internet users aged 34 years and under,Using the Internet less than once a month,v41340722,1.2.4,1
2009,Canada,Internet users aged 34 years and under,Using the Internet less than once a month,v41340722,1.2.4,F
2005,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a day,v41340723,1.3.1,57.4
2007,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a day,v41340723,1.3.1,60.6
2009,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a day,v41340723,1.3.1,71.6
2005,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a week (but not every day),v41340724,1.3.2,30.8
2007,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a week (but not every day),v41340724,1.3.2,28.9
2009,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a week (but not every day),v41340724,1.3.2,21.6
2005,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a month (but not every week),v41340725,1.3.3,6.6
2007,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a month (but not every week),v41340725,1.3.3,6.6
2009,Canada,Internet users aged 35 to 54 years,Using the Internet at least once a month (but not every week),v41340725,1.3.3,3.9
2005,Canada,Internet users aged 35 to 54 years,Using the Internet less than once a month,v41340726,1.3.4,3.1
2007,Canada,Internet users aged 35 to 54 years,Using the Internet less than once a month,v41340726,1.3.4,2.7
2009,Canada,Internet users aged 35 to 54 years,Using the Internet less than once a month,v41340726,1.3.4,2
2005,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a day,v41340727,1.4.1,59
2007,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a day,v41340727,1.4.1,61.9
2009,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a day,v41340727,1.4.1,69.1
2005,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a week (but not every day),v41340728,1.4.2,28.9
2007,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a week (but not every day),v41340728,1.4.2,26.6
2009,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a week (but not every day),v41340728,1.4.2,23.4
2005,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a month (but not every week),v41340729,1.4.3,7.3
2007,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a month (but not every week),v41340729,1.4.3,7.4
2009,Canada,Internet users aged 55 to 64 years,Using the Internet at least once a month (but not every week),v41340729,1.4.3,4.5
2005,Canada,Internet users aged 55 to 64 years,Using the Internet less than once a month,v41340730,1.4.4,3.1
2007,Canada,Internet users aged 55 to 64 years,Using the Internet less than once a month,v41340730,1.4.4,2.6
2009,Canada,Internet users aged 55 to 64 years,Using the Internet less than once a month,v41340730,1.4.4,2.3
2005,Canada,Internet users aged 65 years and over,Using the Internet at least once a day,v41340731,1.5.1,62.8
2007,Canada,Internet users aged 65 years and over,Using the Internet at least once a day,v41340731,1.5.1,64
2009,Canada,Internet users aged 65 years and over,Using the Internet at least once a day,v41340731,1.5.1,65.9
2005,Canada,Internet users aged 65 years and over,Using the Internet at least once a week (but not every day),v41340732,1.5.2,26.8
2007,Canada,Internet users aged 65 years and over,Using the Internet at least once a week (but not every day),v41340732,1.5.2,26.6
2009,Canada,Internet users aged 65 years and over,Using the Internet at least once a week (but not every day),v41340732,1.5.2,25.1
2005,Canada,Internet users aged 65 years and over,Using the Internet at least once a month (but not every week),v41340733,1.5.3,5.5
2007,Canada,Internet users aged 65 years and over,Using the Internet at least once a month (but not every week),v41340733,1.5.3,5.1
2009,Canada,Internet users aged 65 years and over,Using the Internet at least once a month (but not every week),v41340733,1.5.3,4.7
2005,Canada,Internet users aged 65 years and over,Using the Internet less than once a month,v41340734,1.5.4,3.3
2007,Canada,Internet users aged 65 years and over,Using the Internet less than once a month,v41340734,1.5.4,3
2009,Canada,Internet users aged 65 years and over,Using the Internet less than once a month,v41340734,1.5.4,2.4
