Location,GeoRef,AgeRangeLow,AgeRangeHigh,Sex,TotalNum,TotalNumLow95,TotalNumHigh95,TotalNumCoeffVar,TotalPerc,TotalPercLow95,TotalPercHigh95,TotalPercCoeffVar,CurrentNum,CurrentNumLow95,CurrentNumHigh95,CurrentNumCoeffVar,CurrentPerc,CurrentPercLow95,CurrentPercHigh95,CurrentPercCOeffVar,DailyNum,DailyNumLow95,DailyNumHigh95,DailyNumCoeffVar,DailyPerc,DailyPercLow95,DailyPercHigh95,DailyPercCoeffVar,OccNum,OccNumLow95,OccNumHigh95,OccNumCoeffVar,OccPerc,OccPercLow95,OccPercHigh95,OccPercCoeffVar,FormerNum,FormerNumLow95,FormerNumHigh95,FormerNumCoeffVar,FormerPerc,FormerPercLow95,FormerPercHigh95,FormerPercCoeffVar,NeverNum,NeverNumLow95,NeverNumHigh95,NeverNumCoeffVar,NeverPerc,NeverPercLow95,NeverPercHigh95,NeverPercCoeffVar,NotNum,NotNumLow95,NotNumHigh95,NotNumCoeffVar,NotPerc,NotPercLow95,NotPercHigh95,NotPercCoeffVar
Canada,0,12,100,M,25801719,25801719,25801719,0,100,100,100,0,6677856,6580645,6775067,0.7,25.9,25.5,26.3,0.7,5534872,5445352,5624392,0.8,21.5,21.1,21.8,0.8,1142984,1098872,1187096,2,4.4,4.3,4.6,2,9467180,9373779,9560582,0.5,36.7,36.3,37.1,0.5,9585366,9483056,9687676,0.5,37.2,36.8,37.5,0.5,71316,60263,82370,7.9,0.3,0.2,0.3,7.9
Canada,0,12,100,F,12705415,12705415,12705415,0,100,100,100,0,3562612,3495690,3629535,1,28,27.5,28.6,1,2988138,2925377,3050899,1.1,23.5,23,24,1.1,574475,542804,606145,2.8,4.5,4.3,4.8,2.8,5029892,4961463,5098321,0.7,39.6,39,40.1,0.7,4064484,3995538,4133430,0.9,32,31.4,32.5,0.9,48427,39385,57468,9.5,0.4,0.3,0.5,9.5
Canada,0,12,19,B,13096304,13096304,13096304,0,100,100,100,0,3115244,3049518,3180970,1.1,23.8,23.3,24.3,1.1,2546734,2486745,2606723,1.2,19.4,19,19.9,1.2,568510,538465,598554,2.7,4.3,4.1,4.6,2.7,4437288,4369397,4505180,0.8,33.9,33.4,34.4,0.8,5520882,5444041,5597724,0.7,42.2,41.6,42.7,0.7,22890,17302,28477,12.5,0.2,0.1,0.2,12.5
Canada,0,12,19,M,3243281,3243281,3243281,0,100,100,100,0,605558,579455,631660,2.2,18.7,17.9,19.5,2.2,416847,394924,438770,2.7,12.9,12.2,13.5,2.7,188710,172480,204941,4.4,5.8,5.3,6.3,4.4,476293,452480,500107,2.6,14.7,14,15.4,2.6,2143454,2112470,2174437,0.7,66.1,65.1,67,0.7,17977,13201,22753,13.6,0.6,0.4,0.7,13.6
Canada,0,12,19,F,1662580,1662580,1662580,0,100,100,100,0,292307,273852,310762,3.2,17.6,16.5,18.7,3.2,201115,185831,216398,3.9,12.1,11.2,13,3.9,91192,80203,102182,6.1,5.5,4.8,6.1,6.1,242367,225300,259433,3.6,14.6,13.6,15.6,3.6,1115197,1092396,1137999,1,67.1,65.7,68.4,1,12709,8756,16662,15.9,0.8,0.5,1,15.9
Canada,0,12,14,B,1580701,1580701,1580701,0,100,100,100,0,313250,295335,331166,2.9,19.8,18.7,21,2.9,215732,200335,231129,3.6,13.6,12.7,14.6,3.6,97518,85460,109576,6.3,6.2,5.4,6.9,6.3,233927,218481,249373,3.4,14.8,13.8,15.8,3.4,1028257,1007806,1048707,1,65.1,63.8,66.3,1,5268,2984,7552,22.1,0.3,0.2,0.5,22.1
Canada,0,12,14,M,1154646,1120827,1188465,1.5,100,100,100,0,69203,58880,79526,7.6,6,5.1,6.9,7.4,34200,26414,41986,11.6,3,2.3,3.6,11.5,35003,27575,42430,10.8,3,2.4,3.7,10.7,82073,72718,91428,5.8,7.1,6.3,7.9,5.7,998059,965529,1030589,1.7,86.4,85.3,87.6,0.7,5311,3274,7347,19.6,0.5,0.3,0.6,19.5
Canada,0,12,14,F,601795,578286,625303,2,100,100,100,0,30483,22808,38157,12.8,5.1,3.8,6.3,12.5,13175,7610,18739,21.5,2.2,1.3,3.1,21.3,17308,12024,22591,15.6,2.9,2,3.7,15.3,40070,33226,46913,8.7,6.7,5.6,7.8,8.5,527906,505814,549997,2.1,87.7,86.1,89.3,0.9,3336,1705,4967,24.9,0.6,0.3,0.8,25.2
Canada,0,15,19,B,552851,530560,575143,2.1,100,100,100,0,38720,31341,46100,9.7,7,5.7,8.3,9.5,21026,15404,26647,13.6,3.8,2.8,4.8,13.7,17695,12323,23066,15.5,3.2,2.2,4.2,15.2,42004,35135,48872,8.3,7.6,6.4,8.8,8.2,470153,448552,491754,2.3,85,83.3,86.8,1,1974,714,3234,32.6,0.4,0.1,0.6,32.3
Canada,0,15,19,M,2088635,2054816,2122454,0.8,100,100,100,0,536354,510420,562289,2.5,25.7,24.5,26.8,2.3,382647,361975,403319,2.8,18.3,17.4,19.3,2.6,153708,138657,168759,5,7.4,6.7,8.1,4.9,394220,372476,415964,2.8,18.9,17.9,19.9,2.7,1145394,1112602,1178187,1.5,54.8,53.5,56.1,1.2,12666,8271,17061,17.7,0.6,0.4,0.8,17.7
Canada,0,15,19,F,1060785,1037277,1084294,1.1,100,100,100,0,261824,243671,279978,3.5,24.7,23.1,26.3,3.3,187940,173451,202429,3.9,17.7,16.4,19,3.7,73885,63631,84138,7.1,7,6,7.9,6.9,202297,186814,217780,3.9,19.1,17.6,20.5,3.8,587291,563613,610969,2.1,55.4,53.5,57.2,1.7,9373,5669,13076,20.2,0.9,0.5,1.2,20.1
Canada,0,20,34,B,1027850,1005558,1050141,1.1,100,100,100,0,274530,257094,291966,3.2,26.7,25.2,28.3,3,194707,180369,209045,3.8,18.9,17.6,20.3,3.6,79823,68852,90795,7,7.8,6.7,8.8,6.8,191923,177664,206182,3.8,18.7,17.3,20,3.7,558103,537234,578972,1.9,54.3,52.6,56,1.6,3294,1414,5173,29.1,0.3,0.1,0.5,29.1
Canada,0,20,34,M,6303776,6250645,6356908,0.4,100,100,100,0,2078985,2022256,2135714,1.4,33,32.1,33.8,1.3,1646758,1594766,1698750,1.6,26.1,25.3,26.9,1.6,432227,403979,460475,3.3,6.9,6.4,7.3,3.3,1813875,1764724,1863025,1.4,28.8,28,29.5,1.3,2397633,2337528,2457738,1.3,38,37.1,38.9,1.2,13284,8441,18127,18.6,0.2,0.1,0.3,18.6
Canada,0,20,34,F,3191212,3151261,3231163,0.6,100,100,100,0,1157558,1114998,1200118,1.9,36.3,35,37.6,1.8,940570,900592,980548,2.2,29.5,28.3,30.7,2.1,216988,197349,236627,4.6,6.8,6.2,7.4,4.6,902259,863969,940548,2.2,28.3,27.1,29.4,2,1122482,1078149,1166815,2,35.2,33.9,36.5,1.9,8914,4863,12965,23.2,0.3,0.2,0.4,23.2
Canada,0,20,24,B,3112564,3077604,3147524,0.6,100,100,100,0,921427,884799,958054,2,29.6,28.5,30.7,1.9,706188,675067,737309,2.2,22.7,21.7,23.7,2.2,215239,195096,235382,4.8,6.9,6.3,7.6,4.7,911616,876197,947035,2,29.3,28.2,30.4,1.9,1275151,1235058,1315244,1.6,41,39.8,42.2,1.5,4370,1735,7005,30.8,0.1,0.1,0.2,30.8
Canada,0,20,24,M,2130833,2082857,2178808,1.1,100,100,100,0,745446,708417,782474,2.5,35,33.4,36.6,2.3,564802,532125,597478,3,26.5,25.1,27.9,2.8,180644,162109,199179,5.2,8.5,7.6,9.3,5.1,549642,517813,581471,3,25.8,24.4,27.2,2.8,829275,790059,868492,2.4,38.9,37.3,40.5,2.1,6470,2835,10104,28.7,0.3,0.1,0.5,28.6
Canada,0,20,24,F,1081580,1045395,1117764,1.7,100,100,100,0,403213,374848,431579,3.6,37.3,35,39.6,3.2,313142,286847,339438,4.3,29,26.7,31.2,4,90071,76543,103599,7.7,8.3,7.1,9.5,7.4,283604,259298,307910,4.4,26.2,24.1,28.3,4.1,390186,361913,418459,3.7,36.1,33.8,38.3,3.2,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,25,34,B,1049253,1018260,1080245,1.5,100,100,100,0,342232,318845,365619,3.5,32.6,30.6,34.7,3.2,251659,231861,271458,4,24,22.2,25.7,3.7,90573,77537,103608,7.3,8.6,7.4,9.9,7.2,266038,243556,288520,4.3,25.4,23.3,27.4,4,439090,412016,466163,3.1,41.8,39.6,44.1,2.7,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,25,34,M,4172944,4099875,4246012,0.9,100,100,100,0,1333539,1287671,1379408,1.8,32,31,32.9,1.6,1081956,1038655,1125257,2,25.9,25,26.9,1.9,251583,230122,273045,4.4,6,5.5,6.5,4.3,1264233,1219879,1308587,1.8,30.3,29.4,31.2,1.6,1568357,1513098,1623617,1.8,37.6,36.5,38.7,1.5,6814,3668,9961,23.6,0.2,0.1,0.2,23.6
Canada,0,25,34,F,2109632,2055744,2163521,1.3,100,100,100,0,754344,718050,790639,2.5,35.8,34.3,37.2,2.1,627428,593411,661444,2.8,29.7,28.3,31.2,2.5,126917,111600,142234,6.2,6,5.3,6.7,6,618655,585934,651376,2.7,29.3,27.9,30.7,2.4,732296,691860,772733,2.8,34.7,33.1,36.3,2.4,4337,1765,6909,30.3,0.2,0.1,0.3,30.3
Canada,0,35,44,B,2063311,2016815,2109808,1.1,100,100,100,0,579195,551593,606797,2.4,28.1,26.8,29.3,2.3,454528,429805,479252,2.8,22,20.9,23.2,2.6,124666,109912,139420,6,6,5.3,6.7,6,645578,616343,674813,2.3,31.3,30,32.6,2.1,836061,799508,872614,2.2,40.5,39.1,41.9,1.8,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,35,44,M,5319716,5266585,5372848,0.5,100,100,100,0,1678482,1630792,1726171,1.4,31.6,30.7,32.4,1.4,1440293,1395393,1485193,1.6,27.1,26.3,27.9,1.5,238189,219446,256931,4,4.5,4.1,4.8,4,1960211,1912084,2008338,1.3,36.8,36,37.7,1.2,1667541,1617551,1717530,1.5,31.3,30.5,32.2,1.4,13483,8238,18729,19.8,0.3,0.2,0.4,19.8
Canada,0,35,44,F,2649765,2609814,2689716,0.8,100,100,100,0,897711,863430,931993,1.9,33.9,32.6,35.1,1.9,774663,742257,807069,2.1,29.2,28.1,30.4,2,123048,108313,137784,6.1,4.6,4.1,5.2,6.1,977045,943857,1010232,1.7,36.9,35.7,38,1.6,765769,729820,801718,2.4,28.9,27.7,30.1,2.2,9240,4664,13817,25.3,0.3,0.2,0.5,25.2
Canada,0,45,64,B,2669951,2634991,2704911,0.7,100,100,100,0,780770,749127,812413,2.1,29.2,28.1,30.4,2,665630,636105,695154,2.3,24.9,23.9,26,2.2,115140,102282,127999,5.7,4.3,3.8,4.8,5.7,983167,948976,1017357,1.8,36.8,35.6,38,1.6,901772,865238,938306,2.1,33.8,32.5,35.1,1.9,4243,1764,6722,29.8,0.2,0.1,0.3,29.8
Canada,0,45,64,M,7287155,7287094,7287215,0,100,100,100,0,1874048,1826903,1921192,1.3,25.7,25.1,26.4,1.3,1650232,1606436,1694028,1.4,22.6,22,23.2,1.4,223816,204217,243414,4.5,3.1,2.8,3.3,4.5,3334419,3278135,3390703,0.9,45.8,45,46.5,0.9,2063040,2009952,2116127,1.3,28.3,27.6,29,1.3,15648,10284,21012,17.5,0.2,0.1,0.3,17.5
